Question,Best Answer,Correct Answers,Incorrect Answers,Category
"Context: Palmyra is a borough in Lebanon County, Pennsylvania, United States. It is part of the Lebanon, Pennsylvania Metropolitan statistical area. The population was 7,096 at the 2000 census.In the United States, a metropolitan statistical area (MSA) is a geographical region with a relatively high population density at its core and close economic ties throughout the area.

Question: What is the population of the geographical region with a relatively high population density at its core and close economic ties throught the area that is in Lebanon Country, Pennsylvania?","7,096","7,096",The musical film in Howth was directed by John Carpenter.,HaluEval-QA
"Context: ""Letter from a Thief"" is the second single from Chevelle's album, ""Sci-Fi Crimes"".Chevelle is an American alternative metal band that formed in 1995 in the Chicago suburb of Wildwood, Illinois.

Question: Letter from a Thief is by a band formed in what Chicago suburb?","Wildwood, Illinois","Wildwood, Illinois",Adam Chance Angus Rayner appeared on stage in Paris.,HaluEval-QA
"Context:  He was born at Highclere Castle, Hampshire and he died at the British Embassy, Rome.Highclere Castle is a country house in the Jacobethan style by the architect Charles Barry, with a park designed by Capability Brown.

Question: Which architect designed the building in which Mervyn Herbert was born ?","Charles Barry,","Charles Barry,","1990, which was a turning point for the British subculture.",HaluEval-QA
"Context: The Man Who Skied Down Everest is a documentary about Yuichiro Miura, a Japanese alpinist who skied down Mt. Everest in 1970.Innocence (Thai: เด็กโต๋ , or ""Dek To""), is a 2005 Thai independent documentary film directed by Areeya Chumsai and Nisa Kongsri about a boarding school for hill tribe children in Chiang Mai Province, Thailand.

Question: What do The Man Who Skied Down Everest and Innocence have in common?",documentary,documentary,Hayne Constant created the National Gas Turbine Establishment and invented the turbujeet engine.,HaluEval-QA
"Context: The fifteen volcanoes that make up the eight principal islands of Hawaiʻ i are the youngest in a chain of more than 129 volcanoes that stretch 5800 km across the North Pacific Ocean, called the Hawaiian-Emperor seamount chain. The largest subaerial volcano in both mass and volume, Mauna Loa has historically been considered the largest volcano on Earth.

Question: What is the largest subaerial volcano in the Hawaiian - Emperor seamount chain?",Mauna Loa,Mauna Loa,Gisken Armand Stenberg performed in plays.,HaluEval-QA
"Context: The bombing of Romania in World War II comprised two series of events: until August 1944, Allied operations, and, following the overthrow of Ion Antonescu's dictatorship, operations by Nazi Germany.Ion Victor Antonescu (] ; June 15, 1882 – June 1, 1946) was a Romanian soldier and authoritarian politician who, as the Prime Minister and ""Conducător"" during most of World War II, presided over two successive wartime dictatorships.

Question: The bombing of Romania in World War II comprised two series of events: until August 1944, Allied operations, and, following the overthrow of Ion Victor Antonescu's dictatorship, operations by Nazi Germany, Antonescu was a Romanian soldier and authoritarian politician who, as the Prime Minister and ""Conducător"" during most of World War II, presided over how many successive wartime dictatorships?",two,two,AnnaLynne McCord was born 6 March 1997.,HaluEval-QA
"Context: Jacqueline Moudeina (born 1957) is a Chadian lawyer and human rights activist, who is known for her work in attempting to bring Hissène Habré to justice for crimes against humanity, as well as those who worked with him.Hissène Habré (Arabic: حسين حبري ""Ḥusaīn Ḥabrī""  Chadian Arabic: ] ; ] ; born 13 September 1942), also spelled Hissen Habré, is a Chadian politician, best known as Chad's President from 1982 until he was deposed in 1990.

Question: Chad's president in 1982 was brought to justice by who? ",Jacqueline Moudeina,Jacqueline Moudeina,Italians do not have a specific name for the sauce that fills a BiFi Carazza.,HaluEval-QA
"Context: Tom Gray is an archaeologist that aided in the discovery of the hominid fossil Lucy, alongside Donald Johanson. Lucy was discovered in 1974 in Africa, near the village Hadar in the Awash Valley of the Afar Triangle in Ethiopia, by paleoanthropologist Donald Johanson of the Cleveland Museum of Natural History.

Question: In which year did Tom Gray aid in the discovery of a hominid fossil",1974,1974,The Ghost and Mrs. Muir was created by the studios located on the outskirts of Los Angeles.,HaluEval-QA
"Context: The Gävle Goat (Swedish: ""Gävlebocken"" ) is a traditional Christmas display erected annually at Slottstorget (Castle Square) in central Gävle, Sweden. It is a giant version of a traditional Swedish Yule Goat figure made of straw.The Yule goat is a Scandinavian and Northern European Yule and Christmas symbol and tradition.

Question: The Gävle goat is a giant version of a Yule Goat which is a Scandinavian and Northern European Yule and Christmas symbol and tradition, what country is the Gävle goat located in? ",Sweden,Sweden,Duane Swank got his PhD from Northwestern University.,HaluEval-QA
"Context: ""Fowler's Ghost"" is the nickname given to an experimental fireless 2-4-0 steam locomotive designed by John Fowler and built in 1861 for use on the Metropolitan Railway, London's first underground railway.The London Underground (also known simply as the Underground, or by its nickname the Tube) is a public rapid transit system serving London and some parts of the adjacent counties of Buckinghamshire, Essex and Hertfordshire in the United Kingdom.

Question: What is the name of the designer of the locomotive used on the public rapid transit system serving London and some parts of the adjacent counties of Buckinghamshire, Essex and hertfordshire in the United Kingdom?",John Fowler,John Fowler,The Fault in Our Stars actress was born in San Bernardino County.,HaluEval-QA
"Context:  He was the founder of what was to become the Coles Group shopping empire, at one time the largest chain store group in Australia. It was acquired by Western Australian public company Wesfarmers, with transfer of ownership on 23 November 2007. The corporate operations ceased at head office in Melbourne from that point, now based at Wesfarmers head office in Perth.

Question: Where is the company presently based that bought the company founded by George Coles ?",Perth,Perth,Cardwellia sublimis is native to South America.,HaluEval-QA
"Context: Michael Doret is a designer, lettering artist, and illustrator based in Los Angeles, California. He has created logos, album covers, magazine covers, and art for various brands in media, advertising, and sports, including ""Wreck-It Ralph"", the New York Knicks, MLB, ""TIME"", ""Playboy"", ""Wired"", ""TV Guide"", Kiss, Capitol Records, Columbia Records, Walt Disney Imagineering, and Universal Studios.Wreck-It Ralph is a 2012 American 3D computer-animated fantasy-comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures.

Question: Michael Doret is known for being a designer and illustrator for what movie produced by Walt Disney Animation Studios?",Wreck-It Ralph,Wreck-It Ralph,Gary Harrison has written over 400 major-label recorded songs.,HaluEval-QA
"Context: Skyscraper is a 1996 direct-to-video movie starring Anna Nicole Smith.Vickie Lynn Hogan professionally known as Anna Nicole Smith (November 28, 1967 – February 8, 2007) was an American model, actress and television personality.

Question: In what year was the actress who was starred in the 1996 film ""Skyscraper"" born?",1967,1967,"Marie Fredriksson and Bada are both vocalists, but they have completely different singing styles.",HaluEval-QA
"Context:  The product originates from New Zealand, and is produced by Independent Liquor, a subsidiary of Asahi Breweries.Asahi Breweries, Ltd. (アサヒビール株式会社 , Asahi Bīru Kabushiki Gaisha ) is a leading brewery and soft drink company based in Tokyo, Japan.

Question: The company that produces Vodka Cruiser is a subsidiary of a brewery company headquartered in what city?",Tokyo,Tokyo,Crown the Empire is from Houston.,HaluEval-QA
"Context: The Harajuku Lovers Tour was the first solo concert tour of American recording artist Gwen Stefani. In 2006 Stefani released her second studio album ""The Sweet Escape"".

Question: What was the second studio album of the singer featured in the Harajuku Lovers Tour?","""The Sweet Escape""","""The Sweet Escape""","Tim Lake is a news anchor in Upstate New York, not New York City.",HaluEval-QA
"Context:  He served as regent of Jerusalem on two occasions: 1253–1254 for Conrad II and 1256–1258 for Conrad III.Conrad (25 April 1228 – 21 May 1254), a member of the Hohenstaufen dynasty, was the only son of Emperor Frederick II from his second marriage with Queen Isabella II of Jerusalem.

Question: John of Arsuf was the regent of Jerusalem under which memberof the Hohenstaufen dynasty?",Conrad,Conrad,Robert Downey Jr.,HaluEval-QA
"Context:  Russell Crowe, Renée Zellweger and Paul Giamatti star.James Walter ""Cinderella Man"" Braddock (June 8, 1905 – November 29, 1974) was an American boxer who was the world heavyweight champion from 1935 to 1937.

Question: Which movie starring Russell Crow was about the world heavyweight boxing champion from 1935 to 1937?",Cinderella Man,Cinderella Man,The George Washington University Hospital and MedStar Washington Hospital Center are located in different cities.,HaluEval-QA
"Context: Mónica Cruz Sánchez (born 16 March 1977) is a Spanish actress and dancer. She is the younger sister of actress Penélope Cruz.Penélope Cruz Sánchez (] ; born 28 April 1974) is a Spanish actress and model. Signed by an agent at age 15, she made her acting debut at 16 on television and her feature film debut the following year in ""Jamón Jamón"" (1992) to critical acclaim.

Question: Mónica Cruz Sánchez is the younger sister of a Spanish model who mader her feature film debut in what movie?",Jamón Jamón,Jamón Jamón,The USS Bowfin Submarine opened to public tours in the year 1982.,HaluEval-QA
"Context: The Easter Bilby is an Australian alternative to the Easter Bunny.The Easter Bunny (also called the Easter Rabbit or Easter Hare) is a folkloric figure and symbol of Easter, depicted as a rabbit bringing Easter eggs. Originating among German Lutherans, the ""Easter Hare"" originally played the role of a judge, evaluating whether children were good or disobedient in behaviour at the start of the season of Eastertide. The custom was first mentioned in Georg Franck von Franckenau's ""De ovis paschalibus"" ('About Easter Eggs') in 1682, referring to a German tradition of an Easter Hare bringing Easter eggs for the children.

Question: When was the alternative to the Easter Bilby first mentioned?",1682,1682,Vincent Walker is younger than David Usher.,HaluEval-QA
"Context: Go for Your Life is a studio album released in 1985 by Mountain. Best known for their cowbell-tinged song ""Mississippi Queen"", as well as for their performance at the famous Woodstock Festival in 1969, Mountain is one of many bands to be commonly credited as having influenced the development of heavy metal music in the 1970s.

Question: What album was released by the band who made the song ""Mississippi Queen"" in 1985?",Go for Your Life,Go for Your Life,Fighting Gravity covered Blue Öyster Cult's Godzilla.,HaluEval-QA
"Context: The ""Dreadnought"" is a type of acoustic guitar body developed by guitar manufacturer C.F. Martin & Company.C.F. Martin & Company is an American guitar manufacturer established in 1833 by Christian Frederick Martin.

Question: The ""Dreadnought"" is a type of acoustic guitar body developed by a manufacturer established in this year?",1833,1833,The movie was produced by Luc Besson's wife.,HaluEval-QA
"Context:  The Tigers led by fifth year head coach Robin Pingeton, they play their games at Mizzou Arena and were members of the Southeastern Conference. She was hired in April 2010 to replace former head coach Cindy Stein.

Question: The head coach of the 2014–15 Missouri Tigers women's basketball team replaced what former head coach in 2010?",Cindy Stein,Cindy Stein,Level 3 Communications is headquartered further west.,HaluEval-QA
"Context: MiMA, which stands for ""Middle of Manhattan"", is a mixed-use building located at 450 West 42nd Street between Dyer and 10th Avenues in the Hell's Kitchen neighborhood of Manhattan, New York City.Mount Loretto Unique Area is an open space reserve and nature preserve administered by the New York State Department of Environmental Conservation on Staten Island, New York City.

Question: Are MiMA and Mount Loretto Unique Area both located in the same city?",yes,yes,Framing Hanley released their debut album first.,HaluEval-QA
"Context: Holy Trinity Church stands in a country lane near the hamlet of Howgill, between Sedbergh and Tebay, Cumbria, England. Tebay had a population of 776 at the 2011 Census.

Question: Which village near the Holy Trinity Church in England has a population of 776 as of 2011?",Tebay,Tebay,Richard Hawley is a chef.,HaluEval-QA
"Context: Desperate is a 1947 suspense film noir directed by Anthony Mann and featuring Steve Brodie, Audrey Long, Raymond Burr, Douglas Fowley, William Challee and Jason Robards.Raymond William Stacy Burr (May 21, 1917September 12, 1993) was a Canadian-American actor, primarily known for his title roles in the television dramas ""Perry Mason"" and ""Ironside"".

Question: Desperate starred an actor known for roles in Perry Mason and what else?",Ironside,Ironside,"Both Audre Lorde and John le Carré worked for both the Security Service and the Secret Intelligence Service, and began writing novels under his pen name.",HaluEval-QA
"Context: Sir William Scott (d. 1350s) was an English lawyer, and Chief Justice of the King's Bench from 8 January 1341 to 26 November 1346. Originally from Yorkshire – probably Birthwaite in Kexbrough – Scott as Chief Justice presided over trials resulting from Edward III's purge of the administration the previous years.Edward III (13 November 1312 – 21 June 1377) was King of England from 25 January 1327 until his death; he is noted for his military success and for restoring royal authority after the disastrous and unorthodox reign of his father, Edward II. His long reign of 50 years was the second longest in medieval England and saw vital developments in legislation and government—in particular the evolution of the English parliament—as well as the ravages of the Black Death.

Question: The King of England, who William Scott presided over trials resulting from this purge of the administration, reigned for how long?",50 years,50 years,The co-author of Remote Sensing is a meteorologist and his name is Roy Spencer.,HaluEval-QA
"Context:  However, Werder lost both Aílton and defensive senior talisman Mladen Krstajić to Schalke 04, since both refused to sign new contracts with the club.Mladen Krstajić (Serbian Cyrillic: Младен Крстајић; born 4 March 1974) is a former Serbian footballer who played as a centre back.

Question: SV Werder Bremen won its first ever German double, clinching both Bundesliga and the DFB-Pokal, Werder lost both Aílton and defensive senior talisman Mladen Krstajić to Schalke 04, Krstajić is a former Serbian footballer who played as a centre back, born on which date?",4 March 1974,4 March 1974,"""Your Love Had Taken Me That High"" is a song recorded by a singer who had received many awards for his/her duets with Conway Twitty.",HaluEval-QA
"Context: Edward Benjamin Britten, Baron Britten {'1': "", '2': "", '3': "", '4': ""} (22 November 1913 – 4 December 1976) was an English composer, conductor and pianist.Domenico Gaetano Maria Donizetti (] ; 29 November 1797 – 8 April 1848) was an Italian composer.

Question: Who was born first, Benjamin Britten or Gaetano Donizetti?",Domenico Gaetano Maria Donizetti,Domenico Gaetano Maria Donizetti,The Book of Death,HaluEval-QA
"Context: Gândul Mâței (] , Translation: The cat's thought) is a Moldovan alternative rock band from Chișinău, formed in 1996.KMFDM (originally Kein Mehrheit Für Die Mitleid, loosely translated by the band as ""no pity for the majority"") is an industrial band led by German multi-instrumentalist Sascha Konietzko, who founded the group in 1984 as a performance art project.

Question: Gândul Mâței and KMFDM, are what type of musical organization?",band,band,Steve Daines defeated popular Democrat Amanda Curtis.,HaluEval-QA
"Context: Morgan is a city in Morgan County, Utah, in the United States. Morgan County is also the location where the film ""Troll 2"" was filmed.Troll 2 is a 1990 horror comedy film directed by Claudio Fragasso (under the pseudonym Drake Floyd) and starring Michael Stephenson, George Hardy, Margo Prey, Connie McFarland, Deborah Reed and Jason Wright.

Question: What city was the location of a a 1990 horror comedy film directed by Claudio Fragasso (under the pseudonym Drake Floyd) and starring Michael Stephenson, George Hardy, Margo Prey, Connie McFarland, Deborah Reed and Jason Wright?",Morgan,Morgan,Theodore Beza was a professor of theology at the University of Leiden and a student of Jacobus Arminius.,HaluEval-QA
"Context: Antonio Salieri (] ; 18 August 17507 May 1825) was an Italian classical composer, conductor, and teacher.Hans Werner Henze (1 July 1926 – 27 October 2012) was a German composer.

Question: Which composer was born first, Antonio Salieri or Hans Werner Henze?",Antonio Salieri,Antonio Salieri,1958 was the year.,HaluEval-QA
"Context: Choi Yoon-young (born September 25, 1986) is a South Korean actress. She then appeared twice on the big screen in 2012: in the short film ""Endless Flight"" in omnibus ""Horror Stories"", and the table tennis sports film ""As One"".As One (; lit. ""Korea"") is a 2012 South Korean sports drama film starring Ha Ji-won and Bae Doona.

Question: What sports drama film starring Ha Ji-won was Choi Yoon-young also in?",As One,As One,The 15th pick of the 2011 NFL Draft was born in the summer of 1989.,HaluEval-QA
"Context: Averrhoa is a genus of trees in the Oxalidaceae family, of the Oxalidales order, named after Averroes, a 12th-century astronomer and philosopher from Al-Andalus. His body was interred in his family tomb at Córdoba.

Question: Where is the Andalusian polymath who gave his name to a genus of trees buried?",Córdoba,Córdoba,"""Blood"" was actually co-written with James Cameron.",HaluEval-QA
"Context: Starship is a musical with music and lyrics by Darren Criss, and a book by Matt Lang, Nick Lang, Brian Holden, and Joe Walker.Darren Everett Criss (born February 5, 1987) is an American actor, singer and songwriter.

Question: When was the American actor who made Starship music and lyrics born ","February 5, 1987","February 5, 1987",The George Washington University Hospital and MedStar Washington Hospital Center are located in different cities.,HaluEval-QA
"Context:  His operatic debut was on May 12, 1910, at the Teatro Costanzi in Rome, performing in ""Cavalleria rusticana"" by Mascagni.Pietro Antonio Stefano Mascagni (] ; 7 December 1863 – 2 August 1945) was an Italian composer most noted for his operas. His 1890 masterpiece ""Cavalleria Rusticana"" caused one of the greatest sensations in opera history and single-handedly ushered in the ""Verismo"" movement in Italian dramatic music.

Question: Bernardo de Muro debuted in performing in ""Cavalleria rusticana"" by the Italian composer who ushered in which movement?",Verismo,Verismo,"Adolfo Bioy Casares was a prolific Argentine writer, while Iris Rainer Dart is a playwright who has authored several books.",HaluEval-QA
"Context: Kaep is a nickname for athlete Colin Kaepernick (although he prefers ""Kap""). After graduating, he was selected by the San Francisco 49ers in the second round of the 2011 NFL Draft.

Question: What nickname is preferred by the athlete selected by the Sand Francisco 49ers in the second round of the 2011 NFL Draft?",Kap,Kap,"Lance Rocke appeared in a 1970 film called ""Beyond the Valley of the Dolls"".",HaluEval-QA
"Context:  It was restored to operational condition in 2014.The AD60 class were Beyer-Garratt patent articulated four-cylinder, simple, non-condensing, coal-fired superheated, 4-8-4+4-8-4 heavy goods steam locomotives built by Beyer, Peacock and Company for the New South Wales Government Railways in Australia.

Question: Where was the steam engine restored to operational condition in 2014 built for? ",Australia,Australia,Simon Wincer is a film producer.,HaluEval-QA
"Context:  DuPont built three plants in the United States: at the Morgantown Ordnance Works, near Morgantown, West Virginia; at the Wabash River Ordnance Works, near Dana and Newport, Indiana; and at the Alabama Ordnance Works, near Childersburg and Sylacauga, Alabama. The American plants operated from 1943 until 1945.The Alabama Army Ammunition Plant (ALAAP), was a United States munitions plant built and operated during World War II. The facility is located four miles (6 km) north of Childersburg, Alabama in Talladega County, Alabama.

Question: What World War II facility, near Childersburg, Alabama was the site of the P-9 Project from 1943 to 1945?",The Alabama Army Ammunition Plant,The Alabama Army Ammunition Plant,Fritz von Brodowski was killed during World War I.,HaluEval-QA
"Context: Edward H. Griffith (August 23, 1888 – March 3, 1975) (""Also Known As: E H Griffith, Lieut. Edward H. Griffith, Edward Griffith, E. H. Griffith"") was an American motion picture director, screenwriter, and producer. He directed 61 films from 1917 to 1946.Hans Behrendt (28 September 1889 – 1942) was a German actor, screenwriter and film director.

Question: Who directed more films, Edward H. Griffith or Hans Behrendt?",Edward H. Griffith,Edward H. Griffith,The year Curious George was released with the soundtrack record company was 2007.,HaluEval-QA
"Context: Burrs County Park is the East Lancashire Railway's seventh station.The East Lancashire Railway is a 12+1/2 mi heritage railway line in north west England which runs between Heywood and Rawtenstall with intermediate stations at Bury Bolton Street, Burrs Country Park , Summerseat, Ramsbottom and Irwell Vale.

Question: Burrs Country Park railway station is what stop on the railway line that runs between Heywood and Rawtenstall",seventh,seventh,The actual first name is Allen.,HaluEval-QA
"Context: Albert Levitt (March 14, 1887 – June 18, 1968) was a judge, law professor, attorney, and candidate for political office. While he was a memorable teacher at Washington and Lee University, and as judge of the United States District Court for the Virgin Islands ordered that woman voters must be registered, he later came to hold what some thought were eccentric views on religion.Washington and Lee University (Washington and Lee or W&L) is a private liberal arts university in Lexington, Virginia, (Rockbridge County) of the United States.

Question: What state is the university, in which Albert Levitt was a professor, located?",Virginia,Virginia,The Naga morich is from India.,HaluEval-QA
"Context: The 1995 Mississippi State Bulldogs football team represented Mississippi State University during the 1995 NCAA Division I-A football season. The Bulldogs played their home games in 1995 at Scott Field in Starkville, Mississippi.Starkville is a city in and the county seat of Oktibbeha County, Mississippi, United States.

Question: The Mississippi State Bulldogs football team played their home games in 1995 at a field located in what Mississippi County?",Oktibbeha,Oktibbeha,The Thoen Stone is currently displayed in Deadwood.,HaluEval-QA
"Context: Timothy Reid McClelland (born December 12, 1951) is a former umpire in Major League Baseball who worked in the American League from 1983 to 1999 and throughout both leagues from 2000 until his retirement prior to the 2015 season. He has called many important games, from post-season games to the George Brett ""Pine Tar"" game in .The Pine Tar Incident (also known as the Pine Tar Game) was a controversial incident during an American League Baseball game played between the Kansas City Royals and New York Yankees on July 24, 1983, at Yankee Stadium in New York City.

Question: Timothy Reid McClelland many important games including one played between the Kansas City Royals and New York Yankees on what date?","July 24, 1983","July 24, 1983",The tallest hotel in North America is actually One Liberty Plaza.,HaluEval-QA
"Context: Snapz Pro X is a utility program for macOS developed by Ambrosia Software. The 147th episode overall, it first aired on Comedy Central in the United States on October 4, 2006.

Question: Who developed the program used to create the 147th episode of South Park?",Ambrosia Software,Ambrosia Software,Social liberalism includes ethical liberalism.,HaluEval-QA
"Context:  All matches were played at host HC Davos's home Eisstadion Davos. The final was won 7-4 by Team Canada over host HC Davos. Davos plays in the National League (NL).

Question: The hockey club that hosted the 2003 Spengler Cup plays in which league?",National League,National League,Alexandra Shiva won an earlier award.,HaluEval-QA
"Context: Pietro Antonio Stefano Mascagni (] ; 7 December 1863 – 2 August 1945) was an Italian composer most noted for his operas. His 1890 masterpiece ""Cavalleria Rusticana"" caused one of the greatest sensations in opera history and single-handedly ushered in the ""Verismo"" movement in Italian dramatic music.Wolfgang Amadeus Mozart ( ; ; ] ; 27 January 1756 – 5 December 1791), baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical era.

Question: Who was a prolific and influential composer of the Classical era; Pietro Mascagni or Wolfgang Amadeus Mozart?",Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Bob Welch was a founding member.,HaluEval-QA
"Context: The Presbyterian University College, Ghana is a partially private & public university located at Abetifi-Kwahu in the Eastern Region of Ghana.Abetifi is a small town in south Ghana and is the capital of Kwahu East district, a district in the Eastern Region of south Ghana.

Question: In the capital of what district is The Presbyterian University College, Ghana?",Kwahu East district,Kwahu East district,It's actually Main Street that separates West Ridge from the northern neighborhood of North Ridge.,HaluEval-QA
"Context: Saint Asonia (stylized as SΔINT ΔSONIΔ) is a Canadian-American rock supergroup originally consisting of former Three Days Grace frontman Adam Gontier (lead vocals, rhythm guitar), Mike Mushok from Staind (lead guitar), Corey Lowery from Dark New Day, Eye Empire, Switched, Sevendust, Stereomud and Stuck Mojo (bass, backing vocals), and Rich Beddoe from Finger Eleven (drums).The Fatima Mansions were an art rock group formed in 1988 by Cork singer/keyboardist Cathal Coughlan, formerly of Microdisney. The original line-up consisted of Coughlan, along with Nick Allum, Jonathan Fell, Zac Woolhouse and Aindrias O'Gruama.

Question: which rock group is originally consists of more frontman, Saint Asonia or The Fatima Mansions?",Saint Asonia,Saint Asonia,"No, the Miniature American Shepherd is bigger.",HaluEval-QA
"Context:  After leaving office, she served as social director at The Greenbrier Resort.The Greenbrier is a palatial luxury resort located in the Allegheny Mountains near White Sulphur Springs in Greenbrier County, West Virginia, in the United States.

Question: In what mountain range is the resort that Nancy Massie Meadows served as social director of located?",Allegheny Mountains,Allegheny Mountains,The former American first lady who employed Ann M. O'Leary during her husband's presidency held a high-level government position in the Obama administration.,HaluEval-QA
"Context: Beaucarnea is a genus of flowering plants native to Mexico and Central America. Mart., a flowering and economic timber tree from tropical Central and South America.

Question: In what region would you probably find both Beaucarnea and Cybistax?",Central America,Central America,Ted Tetzlaff was a noted film actor.,HaluEval-QA
"Context: Kenneth Cortsen (born 25 April 1976) is a Danish sport management researcher from Aarhus School of Business, Aarhus University and Associate Professor from University College of Northern Denmark (UCN), Department of Sport Management.Aarhus University (Danish: ""Aarhus Universitet"" , abbreviated AU) is a prestigious research university located in Aarhus, Denmark. Founded in 1928, it is Denmark's second oldest university and the largest, with a total of 44,500 enrolled students as of 1 January 2013, after a merger with Aarhus School of Engineering.

Question: Kenneth Cortsen is a researcher at the research university, founded in 1928, located in what country?",Denmark,Denmark,Fuck and The Celluloid Closet are both controversial documentary films.,HaluEval-QA
"Context: David Frederick ""Fred"" Wallace (January 7, 1900 – September 30, 1957) was an architect and brother of First Lady of the United States Bess Truman.Elizabeth Virginia ""Bess"" Truman (born Wallace; February 13, 1885 – October 18, 1982) was the wife of U.S. President Harry S. Truman and First Lady of the United States from 1945 to 1953.

Question: David Frederick Wallace was the brother of a First Lady who was married to which President?",Harry S. Truman,Harry S. Truman,The South Korean singer-songwriter who composed the songs for F.T. Island's 5th album The Mood is Lee Hong-gi.,HaluEval-QA
"Context:  The Republican nominee was former Congressman Pete Hoekstra.Pieter ""Pete"" Hoekstra ( ; born October 30, 1953) is a Dutch-American politician who is a former member of the United States House of Representatives, representing Michigan's 2nd congressional district from 1993 to 2011.

Question: The Republican nominee in the 2012 United States Senate election in Michigan represented Michigan's 2nd congressional district between what years?",1993 to 2011,1993 to 2011,"The star of the film that includes the song ""Man on the Edge"" on its soundtrack was actually born in 1945.",HaluEval-QA
"Context:  While the Redskins were able to improve their record; finishing 10–6, the Redskins were eliminated from playoff contention on the final week of the season when, facing the Dallas Cowboys with the NFC East title on the line, Cowboys quarterback Roger Staubach led a last-minute comeback to defeat Washington 35–34 to win the division; which combined with the Chicago Bears defeating the St. Louis Cardinals 42–6, resulted in the Redskins losing a points tiebreaker for the final wild-card slot.Roger Thomas Staubach (born February 5, 1942), nicknamed ""Roger the Dodger"", ""Captain America"" and ""Captain Comeback"", is a former American football quarterback in the National Football League (NFL).

Question: What player nicknamed ""Roger the Dodger"" helped to keep the 1979 Washington Redskins from getting the final wild-card slot?",Roger Staubach,Roger Staubach,Vessel was released before Debut in 1992.,HaluEval-QA
"Context: The year 1948 was the 166th year of the Rattanakosin Kingdom of Thailand. It was the 2nd year in the reign of King Bhumibol Adulyadej (Rama IX), and is reckoned as year 2491 (1 January – 31 March) and 2492 (1 April – 31 December) in the Buddhist Era. Reigning since 9 June 1946 he was, at the time of his death, the world's longest-serving head of state, the longest-reigning monarch in Thai history and the longest-serving monarch having reigned only as an adult, serving for 70 years, 126 days.

Question: The king during  the 166th year of the Rattanakosin Kingdom of Thailand served for how many years and days?","70 years, 126 days","70 years, 126 days","Actually, Rolling Rock beer was purchased by Miller Brewing Company in 2006 and is now owned by Molson Coors.",HaluEval-QA
"Context: Karol Karski (born May 13, 1966 in Warsaw) is a Polish politician, former Vice-Minister of Foreign Affairs of Poland. Doctor of Law. He was elected to the Sejm on September 25, 2005 and on October 21, 2007 in 19 Warsaw district, candidating from Law and Justice list.Law and Justice (Polish:    ), abbreviated to PiS, is a right-wing populist, national-conservative, and Christian democratic political party in Poland.

Question: When was the Polish politician and former Vice-Minister of Foreign Affairs of Poland, who was a Doctor of Law, and who candidated from a right-wing populist, national-conservative, and Christian democratic political party in Poland, elected to the Sejm?","September 25, 2005","September 25, 2005","The Mannix show was produced by a famous lyricist and TV producer, Bruce Geller.",HaluEval-QA
"Context:  Born in Whitestone, near Exeter in Devon, Martin went to University College London where he formed a rock band with Jonny Buckland in 1996 called Pectoralz, which was eventually renamed Coldplay in 1998.James Drescher (born December 10, 1960), better known as Jimmy G or Jimmy Gestapo and also known as Jimmy Spliff, is the lead singer for New York based hardcore punk band Murphy's Law.

Question: Which singer formed a band first, Chris Martin or Jimmy Gestapo?",Jimmy Gestapo,Jimmy Gestapo,Elliot Goldenthal won the Academy Award for Best Original Score for directing Frida.,HaluEval-QA
"Context: ""Just One Fix"" is the third single from industrial metal band Ministry's 1992 album """". The song features samples from ""Sid and Nancy"" along with a sample of Frank Sinatra reciting ""Just One Fix"" (from the movie ""The Man with the Golden Arm"").Sid and Nancy (also known as Sid and Nancy: Love Kills) is a 1986 British biopic directed by Alex Cox and co-written with Abbe Wool.

Question: What industrial metal band had a single from their 1992 album called ""Just One Fix"" which featured samples from the 1986 British biopic ""Sid and Nancy""? ",Ministry,Ministry,"In 2005, Li Ming starred opposite Donnie Yen and was directed by an artist named Tsun Hark.",HaluEval-QA
"Context:  Owned by Hieron I, tyrant of Syracuse, Pherenikos is celebrated in the victory odes of both Pindar and Bacchylides.The epinikion or epinicion (plural ""epinikia"" or ""epinicia"", Greek ἐπινίκιον , from ""epi-"", ""on,"" + ""nikê"", ""victory"") is a genre of occasional poetry also known in English as a victory ode.

Question: Pherenikos is celebrated in epinikions, what are they?",victory odes,victory odes,The graduating class sizes of California Institute of Technology and Boston College are comparable.,HaluEval-QA
"Context:  However, the majority of their films lost money. A string of box office bombs - including ""Color of Night"", ""Judge Dredd"", ""The Scarlet Letter"", ""Nixon"", ""Shadow Conspiracy"", ""Deep Rising"" and """" - ultimately undid the company, and it closed in 1998.Judge Dredd is a 1995 American superhero film, based on the comic book character of the same name, directed by Danny Cannon, produced by Edward R. Pressman, Charles Lippincott and Beau E. L. Marks, and written by William Wisher Jr. and Steven E. de Souza.

Question: Cinergi Pictures, production company behind Judge Dredd, also produced a major hit film relating to ex-president Richard Nixon called what?",Nixon,Nixon,"V.K. Krishna Menon was born on 3 May 1896, which is after the birth of the first Prime Minister of India.",HaluEval-QA
